Symbol,Company Name,Revenue,Net Profit,EPS,Quarterly Net Profit,Public Holding,ROCE,Debt-to-Equity,V40,MarketCap
LT,Larsen & Toubro Limited,,,,,,,,TRUE,505993.0227
RELIANCE,Reliance Industries Limited,,,,,,,,TRUE,2050715.183
SBIN,State Bank of India,,,,,,,,TRUE,718788.8865
HDFCBANK,HDFC Bank Limited,,,,,,,,TRUE,1545005.118
ICICIBANK,ICICI Bank Limited,,,,,,,,TRUE,1043358.705
AXISBANK,Axis Bank Limited,,,,,,,,TRUE,379957.4118
KOTAKBANK,Kotak Mahindra Bank Limited,,,,,,,,TRUE,438985.687
HCLTECH,HCL Technologies Limited,,,,,,,,TRUE,466826.5071
INFY,Infosys Limited,,,,,,,,TRUE,666454.8778
TCS,Tata Consultancy Services Limited,,,,,,,,TRUE,1245020.946
HDFCAMC,HDFC Asset Management Company Ltd,,,,,,,,TRUE,110131.5572
NAM-INDIA,Nippon Life India Asset Management Ltd,,,,,,,,TRUE,49795.95018
HDFCLIFE,HDFC Life Insurance Company Ltd,,,,,,,,TRUE,173915.4784
ICICIPRULI,ICICI Prudential Life Insurance comp Ltd,,,,,,,,TRUE,93681.70004
ICICIGI,ICICI Lombard General Insurance Co Ltd,,,,,,,,TRUE,100070.9489
BAJAJFINSV,Bajaj Finserv Limited,,,,,,,,TRUE,326015.9361
BAJAJHLDNG,Bajaj Holdings & Investment Limited,,,,,,,,TRUE,157473.964
BAJFINANCE,Bajaj Finance Limited,,,,,,,,TRUE,588270.6919
HINDUNILVR,Hindustan Unilever Limited,,,,,,,,TRUE,542026.9175
NESTLEIND,Nestle India Ltd,,,,,,,,TRUE,237057.2648
PGHH,Procter & Gamble Hygiene & Health Care,,,,,,,,TRUE,42913.04489
PIDILITIND,Pidilite Industries Ltd,,,,,,,,TRUE,155224.4146
COLPAL,Colgate-Palmolive ( India ) Ltd,,,,,,,,TRUE,64766.686
DABUR,Dabur India Ltd,,,,,,,,TRUE,86263.41151
GILLETTE,Gillette India Ltd,,,,,,,,TRUE,35134.9932
MARICO,Marico Ltd,,,,,,,,TRUE,94705.50999
ITC,ITC Limited,,,,,,,,TRUE,523902.8056
TITAN,Titan Company Ltd,,,,,,,,TRUE,325208.4277
PAGEIND,Page Industries Ltd,,,,,,,,TRUE,55206.68099
BATAINDIA,Bata India Ltd,,,,,,,,TRUE,15832.61614
HAVELLS,Havells India Ltd,,,,,,,,TRUE,98229.27585
VOLTAS,Voltas Ltd,,,,,,,,TRUE,43190.41946
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,,,,,,,,TRUE,58575.3559
ABBOTINDIA,Abbott India Ltd,,,,,,,,TRUE,74391.10636
PFIZER,Pfizer Ltd,,,,,,,,TRUE,26067.03903
SANOFI,Sanofi India Ltd,,,,,,,,TRUE,14260.54676
MARUTI,Maruti Suzuki India Limited,,,,,,,,TRUE,397468.2903
ASIANPAINT,Asian Patins Ltd,,,,,,,,TRUE,226191.5271
BERGEPAINT,Berger Paints India Ltd,,,,,,,,TRUE,68146.37752
BAJAJ-AUTO,Bajaj Auto Limited,,,,,,,,TRUE,235760.0453
CDSL,Central Depository Service (India) Ltd,,,,,,,,FALSE,36794.44992
BSE,BSE LTD,,,,,,,,FALSE,112725.1706
ANGELONE,Angel One Ltd,,,,,,,,FALSE,26339.75071
CAMS,Computer Age Management Sevices Ltd,,,,,,,,FALSE,21219.71794
BAJAJHFL,Bajaj Housing Finance Ltd,,,,,,,,FALSE,101712.7502
MCX,Multi Commodity Exchange Of India Ltd,,,,,,,,FALSE,45082.06367
ULTRACEMCO,UltraTech Cement Limited,,,,,,,,FALSE,359889.0041
ACC,ACC LTD,,,,,,,,FALSE,36083.24669
TEAMLEASE,Teamlease Service Ltd,,,,,,,,FALSE,3401.172173
QUESS,Quess Corp Ltd,,,,,,,,FALSE,4545.178419
ASTRAZEN,Astrazeneca Pharma India Ltd,,,,,,,,FALSE,22267.49932
CIPLA,Cipla Limited,,,,,,,,FALSE,121384.7568
ERIS,Eris Lifesciences Ltd,,,,,,,,FALSE,22875.67667
LALPATHLAB,Dr. Lal Pathlabs Ltd,,,,,,,,FALSE,23134.43574
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,,,,,,,,FALSE,105085.259
MEDANTA,Global Health Ltd,,,,,,,,FALSE,30536.05683
FORTIS,Fortis Healthcare Ltd,,,,,,,,FALSE,59188.70733
ADANIPORTS,Adani Ports and Special Economic Zone Limited,,,,,,,,FALSE,311103.3504
JSWINFRA,JSW Infrastructure Ltd,,,,,,,,FALSE,65656.74353
AWL,AWL Agri Business Ltd,,,,,,,,FALSE,33573.66026
GODREJCP,Godrej Consumer Products Limited,,,,,,,,FALSE,120346.9025
DIXON,Dixon Technologies (India) Ltd,,,,,,,,FALSE,87215.74789
KAJARIACER,Kajaria Ceramics Ltd,,,,,,,,FALSE,17341.53667
HONAUT,Honeywell Automation India Ltd,,,,,,,,FALSE,35083.15095
DMART,Avenue Supermarts Ltd,,,,,,,,FALSE,280693.6764
RELAXO,Relaxo Footwears Ltd,,,,,,,,FALSE,10574.9291
BLUESTARCO,Blue Star Ltd,,,,,,,,FALSE,33391.87651
BOSCHLTD,Bosch Ltd,,,,,,,,FALSE,95146.351
EICHERMOT,Eicher Motors Ltd,,,,,,,,FALSE,155226.6297
M&M,Mahindra & Mahindra Limited,,,,,,,,FALSE,384280.7169
MRF,MRF LTD,,,,,,,,FALSE,60829.70911
TATAMOTORS,Tata Motors Limited,,,,,,,,FALSE,252879.4903
HYUNDAI,Hyundai Motor India Limited,,,,,,,,FALSE,178076.4901
INDHOTEL,Indian Hotels Company Ltd,,,,,,,,FALSE,109277.0005
ITCHOTELS,ITC Hotels Ltd,,,,,,,,FALSE,47030.27855
UNITDSPR,United Spirits Ltd,,,,,,,,FALSE,102436.1431
RADICO,Radico Khaitan Ltd,,,,,,,,FALSE,34685.00337
UBL,United Breweries Ltd,,,,,,,,FALSE,51853.75109
VBL,Varun Beverages Ltd,,,,,,,,FALSE,156109.4259
