Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Profits (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Screening Date
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,11203797581824,70479.34,6.92,14.0,0.8718,16257.91,"15393.46, 17656.61",16.27,True,False,2026-08-16
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,10164533985280,54207.7,6.9,15.8,0.3721,15440.06,"14755.06, 12537.98, 13357.06",23.68,True,False,2026-08-16
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,8542304600064,49210.0,76.7,65.2,0.1109,13349.0,"13718.0, 10657.0, 12760.0",5.69,False,False,2026-08-16
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,6762132406272,19017.39,11.2,17.1,3.1494,5985.75,"5464.57, 3977.85, 4875.36",8.64,True,False,2026-08-16
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,4880101015552,15040.0,28.1,31.0,0.027,2673.0,"2992.0, 6607.0, 2756.0",11.6,False,False,2026-08-16
INFY,Infosys Limited,Technology,Information Technology Services,4735404343296,331.3,45.6,35.7,0.0475,81.9,"91.9, 74.7, 83.9",15.88,False,False,2026-08-16
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,4116573323264,17098.85,30.1,23.1,0.0224,5454.54,"4667.57, 4674.64, 4083.32",10.47,False,False,2026-08-16
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,3890559844352,19287.89,6.28,11.1,0.2418,5480.46,"5423.15, 4924.29",11.2,True,False,2026-08-16
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,3789501235200,26384.85,6.07,12.7,1.1481,7632.31,"7602.63, 7010.65, 6243.72",9.52,True,False,2026-08-16
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,3679842729984,16642.0,53.4,40.6,0.039,4624.0,"4488.0, 4076.0",5.14,False,False,2026-08-16
ITC,ITC Limited,Consumer Defensive,Tobacco,3485785391104,20689.47,38.6,29.6,0.0315,4394.13,"5387.97, 4931.19, 5244.2",16.61,False,False,2026-08-16
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,3213771669504,9800.97,19.2,15.4,2.564,3132.35,"2538.67, 2229.15, 2244.1",22.23,True,False,2026-08-16
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,3212559515648,10744.21,38.5,29.3,0.0021,3225.63,"3661.92, 2749.82, 2122.03",22.44,False,False,2026-08-16
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,2890736074752,3576.01,84.1,73.2,0.0868,958.68,"998.42, 646.59, 873.49",15.04,False,False,2026-08-16
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,2640008183808,10024.16,11.5,16.4,3.8373,3452.77,"3020.94, 2529.65, 2159.4",5.03,True,False,2026-08-16
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2584792530944,4325.35,27.8,22.0,0.1145,1539.25,"1172.12, 1059.87, 993.59",13.19,False,False,2026-08-16
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,2374206750720,13832.0,69.2,76.4,0.4034,5469.0,"5033.0, 3916.0, 2234.0",4.21,False,False,2026-08-16
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2250377003008,2568.0,22.4,16.8,0.0001,751.0,"583.0, 545.0, 662.0",8.53,False,False,2026-08-16
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,2214429196288,5515.23,32.9,25.2,0.0136,1462.51,"1519.95, 1420.61, 1369.45",9.4,False,False,2026-08-16
TENNIND,TENNIND,Consumer Cyclical,Auto Parts,2172400173056,603.58,22.4,20.3,0.0028,165.04,"166.58, 118.69, 167.82",4.09,False,False,2026-08-16
TVSMOTOR,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers,2046799380480,3018.33,38.2,34.4,0.3337,1019.43,"771.52, 841.29, 610.04",8.12,False,False,2026-08-16
WIPRO,Wipro Limited,Technology,Information Technology Services,1820244180992,13197.4,23.7,19.0,0.1313,3352.0,"3501.8, 3119.0, 3246.2",13.21,False,False,2026-08-16
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,1806995947520,1677.55,43.6,33.5,0.0354,547.63,"446.25, 344.97, 338.7",7.1,False,False,2026-08-16
