Symbol,Company Name,Type,MarketCap,All-Time High (ATH),Current Market Price (CMP),Buy Trigger Price,Sell Trigger Price,CMP Proximity to Buy (%),ClosenessAbs (%)
AMBUJACEM,Ambuja Cements Limited,Non-PSU,136937.1967488,695.0,560.0,556.0,667.2,0.72,0.72
ITC,ITC Limited,Non-PSU,526906.1894144,522.75,423.05,418.2,501.84,1.16,1.16
HINDUNILVR,Hindustan Unilever Limited,Non-PSU,561505.0555392,3028.55,2393.2,2422.84,2907.41,-1.22,1.22
IOC,Indian Oil Corporation Limited,PSU,198798.2524416,202.12,143.32,141.49,169.78,1.3,1.3
ONGC,Oil & Natural Gas Corporation Limited,PSU,302002.6806272,341.75,242.8,239.22,287.07,1.49,1.49
INFY,Infosys Limited,Non-PSU,648126.3460352,1999.7,1572.9,1599.76,1919.71,-1.68,1.68
INDUSTOWER,Indus Towers Limited,Non-PSU,103155.7545984,482.3,395.7,385.84,463.01,2.56,2.56
HCLTECH,HCL Technologies Limited,Non-PSU,443638.1925376,1995.1,1648.3,1596.08,1915.3,3.27,3.27
NATIONALUM,National Aluminium Company Limited,PSU,34614.9650432,256.85,187.24,179.8,215.75,4.14,4.14
LICHSGFIN,LIC Housing Finance Limited,Non-PSU,33743.6147712,816.35,622.15,653.08,783.7,-4.74,4.74
RECLTD,REC Limited,PSU,109357.8981376,645.8,426.2,452.06,542.47,-5.72,5.72
COALINDIA,Coal India Limited,PSU,245862.1313024,540.4,401.0,378.28,453.94,6.01,6.01
TCS,Tata Consultancy Services Limited,Non-PSU,1224434.0441088,4553.75,3421.9,3643.0,4371.6,-6.07,6.07
HINDALCO,Hindalco Industries Limited,Non-PSU,145422.9553152,761.55,650.8,609.24,731.09,6.82,6.82
PFC,Power Finance Corporation Limited,PSU,138208.3985408,570.6,431.0,399.42,479.3,7.91,7.91
NTPC,NTPC Limited,PSU,322753.65888,443.2,337.1,310.24,372.29,8.66,8.66
SUNPHARMA,Sun Pharmaceutical Industries Limited,Non-PSU,402895.4836992,1948.7,1694.4,1558.96,1870.75,8.69,8.69
VEDL,Vedanta Limited,Non-PSU,174976.9650176,522.0,457.9,417.6,501.12,9.65,9.65
CIPLA,Cipla Limited,Non-PSU,121492.7208448,1680.5,1506.6,1344.4,1613.28,12.06,12.06
WIPRO,Wipro Limited,Non-PSU,260266.262528,360.75,251.29,288.6,346.32,-12.93,12.93
RELIANCE,Reliance Industries Limited,Non-PSU,1953416.347648,1600.9,1448.8,1280.72,1536.86,13.12,13.12
IRB,IRB Infrastructure Developers Limited,Non-PSU,31191.4364928,76.85,53.16,61.48,73.78,-13.53,13.53
MAHABANK,Bank of Maharashtra,PSU,42341.9969536,94.25,56.85,65.97,79.17,-13.83,13.83
GRASIM,Grasim Industries Limited,Non-PSU,174650.8972032,2843.75,2608.5,2275.0,2730.0,14.66,14.66
BAJAJ-AUTO,Bajaj Auto Limited,Non-PSU,241220.190208,12666.4,8641.0,10133.12,12159.74,-14.73,14.73
GAIL,GAIL (India) Limited,PSU,125682.64704,240.97,193.64,168.68,202.41,14.8,14.8
ULTRACEMCO,UltraTech Cement Limited,Non-PSU,331004.7461376,12237.0,11260.0,9789.6,11747.52,15.02,15.02
HINDZINC,Hindustan Zinc Limited,Non-PSU,212216.6960128,772.3,525.0,617.84,741.41,-15.03,15.03
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Non-PSU,317907.795968,1590.15,1467.1,1272.12,1526.54,15.33,15.33
AXISBANK,Axis Bank Limited,Non-PSU,370569.6944128,1317.3,1219.9,1053.84,1264.61,15.76,15.76
LICI,Life Insurance Corporation Of India,PSU,607105.1091968,1188.1,962.9,831.67,998.0,15.78,15.78
OIL,Oil India Limited,PSU,69065.6575488,741.0,434.2,518.7,622.44,-16.29,16.29
GICRE,General Insurance Corporation of India,PSU,70140.9329152,501.0,407.85,350.7,420.84,16.3,16.3
LT,Larsen & Toubro Limited,Non-PSU,502843.6246528,3947.3,3678.9,3157.84,3789.41,16.5,16.5
DRREDDY,Dr. Reddy's Laboratories Limited,Non-PSU,109906.9390848,1412.49,1319.1,1129.99,1355.99,16.74,16.74
MARUTI,Maruti Suzuki India Limited,Non-PSU,391809.0207232,13495.6,12637.0,10796.48,12955.78,17.05,17.05
POWERGRID,Power Grid Corporation of India Limited,PSU,275158.4796672,365.45,300.5,255.82,306.98,17.47,17.47
KOTAKBANK,Kotak Mahindra Bank Limited,Non-PSU,412243.72224,2268.8,2138.2,1815.04,2178.05,17.8,17.8
BANKBARODA,Bank of Baroda,PSU,127370.5660416,296.95,248.02,207.87,249.44,19.32,19.32
ADANIPOWER,Adani Power Limited,Non-PSU,214156.6009344,874.5,563.1,699.6,839.52,-19.51,19.51
M&M,Mahindra & Mahindra Limited,Non-PSU,372668.1833472,3211.1,3087.4,2568.88,3082.66,20.18,20.18
SHRIRAMFIN,Shriram Finance Limited,Non-PSU,129427.4789376,725.69,698.0,580.55,696.66,20.23,20.23
ASTERDM,Aster DM Healthcare Limited,Non-PSU,29887.3126912,589.85,569.4,471.88,566.26,20.67,20.67
ADANIENT,Adani Enterprises Limited,Non-PSU,292586.0487168,4165.3,2582.1,3332.24,3998.69,-22.51,22.51
BHARTIARTL,Bharti Airtel Limited,Non-PSU,1120790.2756864,1901.0,1865.1,1520.8,1824.96,22.64,22.64
TATAMOTORS,Tata Motors Limited,Non-PSU,261751.8063616,1161.85,717.8,929.48,1115.38,-22.77,22.77
ICICIBANK,ICICI Bank Limited,Non-PSU,1041195.1783936,1460.6,1434.8,1168.48,1402.18,22.79,22.79
BAJAJFINSV,Bajaj Finserv Limited,Non-PSU,317403.0114816,3269.25,2017.4,2615.4,3138.48,-22.86,22.86
BPCL,Bharat Petroleum Corporation Limited,PSU,137400.614912,369.95,320.4,258.97,310.76,23.72,23.72
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Non-PSU,158605.0760704,14251.0,14251.0,11400.8,13680.96,25.0,25.0
BAJFINANCE,Bajaj Finance Limited,Non-PSU,581890.473984,9607.5,9607.5,7686.0,9223.2,25.0,25.0
HDFCBANK,HDFC Bank Limited,Non-PSU,1515850.4062976,1978.9,1978.9,1583.12,1899.74,25.0,25.0
HYUNDAI,Hyundai Motor India Limited,Non-PSU,151222.0000256,1952.2,1952.2,1561.76,1874.11,25.0,25.0
INDIGO,InterGlobe Aviation Limited,Non-PSU,211793.3727744,5695.0,5695.0,4556.0,5467.2,25.0,25.0
MUTHOOTFIN,Muthoot Finance Limited,Non-PSU,98226.176,2539.9,2539.9,2031.92,2438.3,25.0,25.0
NMDC,NMDC Limited,PSU,63731.9053312,142.43,74.0,99.7,119.64,-25.78,25.78
IDBI,IDBI Bank Limited,PSU,108535.0805504,198.55,101.32,138.99,166.78,-27.1,27.1
HAL,Hindustan Aeronautics Limited,PSU,333671.8778368,5621.95,5008.6,3935.37,4722.44,27.27,27.27
SBIN,State Bank of India,PSU,725616.2172928,905.65,820.05,633.96,760.75,29.35,29.35
CANBK,Canara Bank,PSU,104956.493824,239.4,117.69,167.58,201.1,-29.77,29.77
HINDPETRO,Hindustan Petroleum Corporation Limited,PSU,86612.9149952,448.5,408.45,313.95,376.74,30.1,30.1
PNB,Punjab National Bank,PSU,126628.7771648,277.08,112.2,193.96,232.75,-42.15,42.15
BEL,Bharat Electronics Limited,PSU,285593.1215872,393.5,392.45,275.45,330.54,42.48,42.48
INDIANB,Indian Bank,PSU,85410.971648,651.8,651.8,456.26,547.51,42.86,42.86
UNIONBANK,Union Bank of India,PSU,117023.1525376,417.9,155.39,292.53,351.04,-46.88,46.88
BANKINDIA,Bank of India,PSU,56626.1121024,575.75,129.31,403.02,483.63,-67.92,67.92
RAYMOND,Raymond Limited,Non-PSU,4107.5531776,3229.5,619.8,2583.6,3100.32,-76.01,76.01
RELINFRA,Reliance Infrastructure Limited,Non-PSU,14719.3397248,2585.65,390.35,2068.52,2482.22,-81.13,81.13
KESORAMIND,Kesoram Industries Limited,Non-PSU,197.5823104,399.25,6.48,319.4,383.28,-97.97,97.97
