Symbol,Month,DeliveryPct,TotalDelivQty,TotalTrdQty,Days
20MICRONS,2026-03,58.32,273206,468466,2
20MICRONS,2026-04,43.18,1325561,3069718,23
20MICRONS,2026-05,22.69,1492015,6576026,18
21STCENMGM,2026-03,72.44,2008,2772,2
21STCENMGM,2026-04,95.15,112790,118541,23
21STCENMGM,2026-05,86.37,43865,50787,18
360ONE,2026-03,58.54,1577586,2694854,2
360ONE,2026-04,51.46,16958227,32955804,23
360ONE,2026-05,52.97,8439371,15932087,18
3BBLACKBIO,2026-04,61.06,55941,91618,10
3BBLACKBIO,2026-05,69.64,132410,190137,18
3IINFOLTD,2026-03,88.88,3446614,3877810,2
3IINFOLTD,2026-04,60.04,8658704,14420708,23
3IINFOLTD,2026-05,72.42,5327082,7355660,18
3MINDIA,2026-03,47.98,3238,6748,2
3MINDIA,2026-04,52.12,72412,138924,23
3MINDIA,2026-05,28.23,31534,111695,18
3PLAND,2026-03,92.18,10938,11866,2
3PLAND,2026-04,76.47,65451,85590,23
3PLAND,2026-05,73.32,94408,128759,18
5PAISA,2026-03,50.25,160928,320228,2
5PAISA,2026-04,35.64,692092,1941889,23
5PAISA,2026-05,44.92,351489,782513,18
63MOONS,2026-03,55.73,305224,547678,2
63MOONS,2026-04,39.25,2927365,7458693,23
63MOONS,2026-05,50.77,1279165,2519766,18
A2ZINFRA,2026-05,72.8,1594548,2190411,7
AAATECH,2026-03,66.81,22870,34232,2
AAATECH,2026-04,75.04,579595,772373,23
AAATECH,2026-05,59.83,220056,367827,18
AADHARHFC,2026-03,45.51,382034,839490,2
AADHARHFC,2026-04,58.34,4534775,7772628,23
AADHARHFC,2026-05,53.16,3646306,6859661,18
AAREYDRUGS,2026-03,71.61,171320,239232,2
AAREYDRUGS,2026-04,62.13,2652754,4269958,21
AARNAV,2026-03,60.36,50434,83552,2
AARNAV,2026-04,62.7,675457,1077342,23
AARNAV,2026-05,73.27,1131165,1543743,18
AARON,2026-03,62.05,45582,73464,2
AARON,2026-04,53.14,188866,355408,23
AARON,2026-05,62.91,127362,202447,18
AARTECH,2026-03,64.63,102488,158566,2
AARTECH,2026-04,46.61,1668958,3580401,23
AARTECH,2026-05,65.73,1255889,1910721,18
AARTIDRUGS,2026-03,57.95,226734,391250,2
AARTIDRUGS,2026-04,49.89,1551060,3108729,23
AARTIDRUGS,2026-05,48.54,1583469,3262148,18
AARTIIND,2026-03,61.8,1424326,2304826,2
AARTIIND,2026-04,47.7,14893387,31225478,23
AARTIIND,2026-05,38.75,8490313,21907722,18
AARTIPHARM,2026-03,54.35,558572,1027644,2
AARTIPHARM,2026-04,45.1,2065818,4580871,23
AARTIPHARM,2026-05,46.48,1870666,4024486,18
AARTISURF,2026-03,58.89,32780,55662,2
AARTISURF,2026-04,52.73,155612,295112,23
AARTISURF,2026-05,57.93,147590,254789,18
AARVI,2026-03,67.06,25104,37436,2
AARVI,2026-04,59.17,226614,382968,23
AARVI,2026-05,61.99,311033,501748,18
AAVAS,2026-03,59.99,403328,672292,2
AAVAS,2026-04,56.96,1953663,3430000,23
AAVAS,2026-05,63.94,1083680,1694861,18
ABANSENT,2026-04,59.29,399310,673500,10
ABANSENT,2026-05,88.54,27538,31101,1
ABB,2026-03,35.28,241564,684702,2
ABB,2026-04,41.39,4353481,10518641,23
ABB,2026-05,37.97,3551367,9353429,18
ABBOTINDIA,2026-03,76.59,36056,47074,2
ABBOTINDIA,2026-04,64.76,175932,271663,23
ABBOTINDIA,2026-05,53.97,131794,244183,18
ABCAPITAL,2026-03,50.68,6071812,11980576,2
ABCAPITAL,2026-04,42.52,42092393,98991694,23
ABCAPITAL,2026-05,42.65,42182370,98913155,18
ABCOTS,2026-03,48.31,38904,80538,2
ABCOTS,2026-04,40.4,1263209,3126545,23
ABCOTS,2026-05,41.81,452204,1081475,18
ABDL,2026-03,56.35,1630412,2893366,2
ABDL,2026-04,38.48,4580755,11905534,23
ABDL,2026-05,51.37,3073831,5983433,18
ABFRL,2026-03,45.5,6801960,14947910,2
ABFRL,2026-04,46.63,61811885,132554178,23
ABFRL,2026-05,46.06,47579609,103302424,18
ABGSEC,2026-03,92.71,1424,1536,2
ABGSEC,2026-04,83.99,28775,34260,21
ABGSEC,2026-05,61.34,3015,4915,17
ABINFRA,2026-03,56.32,1072052,1903414,2
ABINFRA,2026-04,45.17,7918914,17531568,23
ABINFRA,2026-05,46.37,8431558,18181787,18
ABLBL,2026-03,66.04,3845522,5823194,2
ABLBL,2026-04,55.56,10220022,18393518,23
ABLBL,2026-05,31.98,13341668,41713160,18
ABMINTLLTD,2026-05,56.32,3154,5600,7
ABMKNO,2026-04,93.95,6227,6628,10
ABMKNO,2026-05,94.54,34800,36810,18
ABREL,2026-03,49.71,270370,543902,2
ABREL,2026-04,32.74,2647260,8086308,23
ABREL,2026-05,44.07,2438266,5532584,18
ABSL10BANK,2026-03,57.33,2354,4106,2
ABSL10BANK,2026-04,59.98,36396,60676,23
ABSL10BANK,2026-05,99.2,1652924,1666334,18
ABSLAMC,2026-03,49.56,278726,562368,2
ABSLAMC,2026-04,51.72,5905983,11419497,23
ABSLAMC,2026-05,58.19,4161623,7151421,18
ABSLBANETF,2026-03,75.66,1025536,1355436,2
ABSLBANETF,2026-04,77.87,5027892,6456511,23
ABSLBANETF,2026-05,87.91,3751561,4267292,18
ABSLLIQUID,2026-03,77.42,6248,8070,2
ABSLLIQUID,2026-04,81.33,102823,126434,23
ABSLLIQUID,2026-05,82.38,95063,115395,18
ABSLMSCIN,2026-03,55.14,536,972,2
ABSLMSCIN,2026-04,85.93,46433,54033,23
ABSLMSCIN,2026-05,89.62,8958,9996,18
ABSLNN50ET,2026-03,69.12,52154,75450,2
ABSLNN50ET,2026-04,89.81,752546,837926,23
ABSLNN50ET,2026-05,79.61,197628,248231,18
ABSLPSE,2026-03,76.49,304102,397588,2
ABSLPSE,2026-04,69.06,7046014,10203204,23
ABSLPSE,2026-05,71.76,3004366,4186829,18
ACC,2026-03,53.41,530844,993996,2
ACC,2026-04,46.78,2299895,4916465,23
ACC,2026-05,52.91,2534606,4790055,18
ACCELYA,2026-03,54.79,47046,85872,2
ACCELYA,2026-04,58.02,191497,330032,23
ACCELYA,2026-05,62.86,83836,133380,18
ACCURACY,2026-03,73.76,344194,466618,2
ACCURACY,2026-04,61.72,2576703,4174492,12
ACCURACY,2026-05,76.61,653427,852930,7
ACE,2026-03,50.74,457958,902608,2
ACE,2026-04,44.0,3498524,7951185,23
ACE,2026-05,33.93,3309397,9754264,18
ACEINTEG,2026-03,41.53,12758,30718,2
ACEINTEG,2026-04,39.69,401598,1011857,23
ACEINTEG,2026-05,65.51,85875,131090,18
ACI,2026-03,44.29,210812,476028,2
ACI,2026-04,48.38,1399775,2893587,23
ACI,2026-05,41.92,1381685,3296310,18
ACL,2026-03,82.08,95082,115834,2
ACL,2026-04,63.83,441624,691868,23
ACL,2026-05,57.99,205240,353914,18
ACMESOLAR,2026-03,29.08,1197070,4116518,2
ACMESOLAR,2026-04,32.13,16956130,52768706,23
ACMESOLAR,2026-05,46.73,14858843,31794014,18
ACSTECH,2026-04,91.41,324861,355406,10
ACSTECH,2026-05,80.06,1396851,1744717,18
ACUTAAS,2026-03,48.8,397936,815386,2
ACUTAAS,2026-04,37.5,6364540,16969850,23
ACUTAAS,2026-05,44.89,3914458,8719165,18
ADANIENSOL,2026-03,46.11,1581456,3429702,2
ADANIENSOL,2026-04,31.24,27420949,87782379,23
ADANIENSOL,2026-05,41.23,30516557,74010725,18
ADANIENT,2026-03,41.52,2346068,5650598,2
ADANIENT,2026-04,30.08,18914535,62885480,23
ADANIENT,2026-05,25.24,14290396,56616356,18
ADANIGREEN,2026-03,33.77,2097226,6209812,2
ADANIGREEN,2026-04,32.35,47919286,148114433,23
ADANIGREEN,2026-05,23.52,19755342,83981923,18
ADANIPORTS,2026-03,51.78,2958022,5713000,2
ADANIPORTS,2026-04,45.68,40927859,89588825,23
ADANIPORTS,2026-05,39.54,22536976,56999956,18
ADANIPOWER,2026-03,39.81,16798716,42201968,2
ADANIPOWER,2026-04,31.11,484915684,1558864996,23
ADANIPOWER,2026-05,26.02,218548456,839908340,18
ADFFOODS,2026-03,38.0,359568,946140,2
ADFFOODS,2026-04,37.81,4818810,12746093,23
ADFFOODS,2026-05,38.14,2183496,5724750,18
ADL,2026-03,74.97,4224,5634,2
ADL,2026-04,63.21,19611,31027,23
ADL,2026-05,65.6,16273,24806,18
ADOR,2026-03,59.83,12290,20540,2
ADOR,2026-04,56.78,925071,1629137,23
ADOR,2026-05,51.22,314292,613663,18
ADROITINFO,2026-03,71.93,186262,258942,2
ADROITINFO,2026-04,73.06,768762,1052261,23
ADROITINFO,2026-05,80.86,944800,1168507,18
ADSL,2026-03,47.92,417420,871154,2
ADSL,2026-04,40.86,1703655,4169894,23
ADSL,2026-05,22.56,3042906,13486264,18
ADVAIT,2026-03,34.26,34500,100702,2
ADVAIT,2026-04,39.57,664560,1679269,23
ADVAIT,2026-05,42.31,488125,1153656,18
ADVANCE,2026-03,58.82,357484,607806,2
ADVANCE,2026-04,25.17,2121778,8428153,23
ADVANCE,2026-05,47.37,1478254,3120873,18
ADVANIHOTR,2026-03,75.48,127112,168414,2
ADVANIHOTR,2026-04,63.8,493366,773270,23
ADVANIHOTR,2026-05,66.7,339599,509141,18
ADVENTHTL,2026-03,52.41,203378,388054,2
ADVENTHTL,2026-04,54.77,1935028,3533089,23
ADVENTHTL,2026-05,50.22,1987371,3957048,18
ADVENZYMES,2026-03,60.05,272154,453182,2
ADVENZYMES,2026-04,49.83,3266375,6555330,23
ADVENZYMES,2026-05,24.98,3201558,12815790,18
AEGISLOG,2026-03,46.06,824878,1791044,2
AEGISLOG,2026-04,28.52,7859474,27560997,23
AEGISLOG,2026-05,46.1,4117931,8932181,18
AEGISVOPAK,2026-03,39.37,752472,1911402,2
AEGISVOPAK,2026-04,42.08,7144793,16979303,23
AEGISVOPAK,2026-05,46.57,8588709,18442227,18
AEPL,2026-03,58.15,59992,103170,2
AEPL,2026-04,45.16,274181,607085,12
AEPL,2026-05,72.15,122996,170479,7
AEQUS,2026-03,53.69,336842,627362,2
AEQUS,2026-04,26.51,27184000,102541006,23
AEQUS,2026-05,34.9,18316827,52477986,18
AEROENTER,2026-03,55.92,570248,1019790,2
AEROENTER,2026-04,39.19,3977477,10149509,23
AEROENTER,2026-05,39.34,3741029,9510464,18
AEROFLEX,2026-03,26.85,834320,3106938,2
AEROFLEX,2026-04,30.65,16806942,54827124,23
AEROFLEX,2026-05,25.16,21970766,87322155,18
AERONEU,2026-03,29.11,45274,155536,2
AERONEU,2026-04,19.53,257787,1319856,23
AERONEU,2026-05,17.78,324016,1822442,18
AETHER,2026-03,48.07,502526,1045410,2
AETHER,2026-04,42.45,2566808,6047047,23
AETHER,2026-05,47.69,3434918,7203012,18
AFCONS,2026-03,61.63,818452,1328044,2
AFCONS,2026-04,12.8,7619762,59516368,23
AFCONS,2026-05,18.95,6327994,33400289,18
AFFLE,2026-03,45.14,493056,1092332,2
AFFLE,2026-04,56.74,3449841,6079611,23
AFFLE,2026-05,21.62,3070476,14200897,18
AFFORDABLE,2026-03,60.32,172192,285472,2
AFFORDABLE,2026-04,48.01,415493,865487,12
AFSL,2026-03,69.41,32876,47362,2
AFSL,2026-04,68.02,272100,400014,23
AFSL,2026-05,89.87,871328,969575,18
AGARIND,2026-03,47.18,99090,210018,2
AGARIND,2026-04,41.53,789548,1901076,23
AGARIND,2026-05,42.52,409852,963795,18
AGARWALEYE,2026-03,22.22,343562,1546242,2
AGARWALEYE,2026-04,59.99,1526242,2544329,23
AGARWALEYE,2026-05,47.73,881693,1847355,18
AGI,2026-03,72.17,641896,889468,2
AGI,2026-04,15.4,4445618,28868259,23
AGI,2026-05,40.49,1532918,3786175,18
AGIIL,2026-03,22.01,1239750,5633302,2
AGIIL,2026-04,19.88,18779096,94440023,23
AGIIL,2026-05,25.86,13052912,50482605,18
AGRITECH,2026-03,62.14,11090,17846,2
AGRITECH,2026-04,62.44,84752,135741,23
AGRITECH,2026-05,64.0,37642,58817,18
AGROPHOS,2026-03,71.8,198752,276798,2
AGROPHOS,2026-04,63.52,293282,461738,23
AGROPHOS,2026-05,40.56,312058,769462,18
AHCL,2026-03,57.77,204624,354208,2
AHCL,2026-04,41.48,16541685,39879401,23
AHCL,2026-05,41.98,16849455,40132822,18
AHLADA,2026-03,76.91,163758,212928,2
AHLADA,2026-04,63.11,239558,379603,23
AHLADA,2026-05,63.97,154776,241951,18
AHLEAST,2026-03,69.01,42122,61040,2
AHLEAST,2026-04,59.67,112174,187983,23
AHLEAST,2026-05,65.85,64365,97748,18
AHLUCONT,2026-03,55.03,321276,583868,2
AHLUCONT,2026-04,50.79,773223,1522383,23
AHLUCONT,2026-05,54.42,377331,693380,18
AHLWEST,2026-04,87.92,15824,17999,10
AIAENG,2026-03,20.96,92468,441200,2
AIAENG,2026-04,52.61,493447,938002,23
AIAENG,2026-05,36.48,646453,1772177,18
AIIL,2026-03,28.25,1283250,4543222,2
AIIL,2026-04,34.9,3226415,9244683,23
AIIL,2026-05,46.23,3412867,7382481,18
AIRAN,2026-03,76.76,367506,478764,2
