Symbol,Date,TotalVolume,DeliveryQty,DeliveryPct
20MICRONS,2026-06-03,276032,115564,41.87
21STCENMGM,2026-06-03,4066,3511,86.35
360ONE,2026-06-03,765530,439575,57.42
3BBLACKBIO,2026-06-03,12025,9854,81.95
3IINFOLTD,2026-06-03,158735,115344,72.66
3MINDIA,2026-06-03,1512,484,32.01
3PLAND,2026-06-03,1059,921,86.97
5PAISA,2026-06-03,23480,7732,32.93
63MOONS,2026-06-03,121600,59023,48.54
A2ZINFRA,2026-06-03,221175,163666,74.0
AAATECH,2026-06-03,14900,7296,48.97
AADHARHFC,2026-06-03,262324,140730,53.65
AARNAV,2026-06-03,15619,9630,61.66
AARON,2026-06-03,11568,10942,94.59
AARTECH,2026-06-03,18196,7003,38.49
AARTIDRUGS,2026-06-03,57062,30081,52.72
AARTIIND,2026-06-03,638355,294192,46.09
AARTIPHARM,2026-06-03,365040,172174,47.17
AARTISURF,2026-06-03,8465,6586,77.8
AARVI,2026-06-03,6648,3813,57.36
AAVAS,2026-06-03,101148,82287,81.35
ABB,2026-06-03,309040,113057,36.58
ABBOTINDIA,2026-06-03,4849,2310,47.64
ABCAPITAL,2026-06-03,1782314,582084,32.66
ABCOTS,2026-06-03,125274,43817,34.98
ABDL,2026-06-03,317367,190375,59.99
ABFRL,2026-06-03,5132698,2311005,45.03
ABINFRA,2026-06-03,1006214,388983,38.66
ABLBL,2026-06-03,641042,351432,54.82
ABMINTLLTD,2026-06-03,45,22,48.89
ABMKNO,2026-06-03,13575,12018,88.53
ABREL,2026-06-03,166387,70674,42.48
ABSL10BANK,2026-06-03,1675,847,50.57
ABSLAMC,2026-06-03,467879,329027,70.32
ABSLBANETF,2026-06-03,79291,51719,65.23
ABSLLIQUID,2026-06-03,3643,1404,38.54
ABSLMSCIN,2026-06-03,250,143,57.2
ABSLNN50ET,2026-06-03,10222,5347,52.31
ABSLPSE,2026-06-03,410324,332491,81.03
ACC,2026-06-03,142891,75375,52.75
ACCELYA,2026-06-03,9530,5368,56.33
ACCURACY,2026-06-03,95681,24913,26.04
ACE,2026-06-03,157000,77772,49.54
ACEINTEG,2026-06-03,3341,2055,61.51
ACI,2026-06-03,90335,27270,30.19
ACL,2026-06-03,21663,15313,70.69
ACMESOLAR,2026-06-03,3477148,1414600,40.68
ACSTECH,2026-06-03,65308,52084,79.75
ACUTAAS,2026-06-03,385864,95290,24.7
ADANIENSOL,2026-06-03,4433558,1429297,32.24
ADANIENT,2026-06-03,1346112,273771,20.34
ADANIGREEN,2026-06-03,2227421,400548,17.98
ADANIPORTS,2026-06-03,2967709,756498,25.49
ADANIPOWER,2026-06-03,22600806,4480593,19.82
ADFFOODS,2026-06-03,1286693,386810,30.06
ADL,2026-06-03,129,120,93.02
ADOR,2026-06-03,20820,9083,43.63
ADROITINFO,2026-06-03,27896,21183,75.94
ADSL,2026-06-03,132213,58563,44.29
ADVAIT,2026-06-03,93150,27822,29.87
ADVANCE,2026-06-03,70444,33481,47.53
ADVANIHOTR,2026-06-03,16255,11041,67.92
ADVENTHTL,2026-06-03,114411,78827,68.9
ADVENZYMES,2026-06-03,201230,93020,46.23
AEGISLOG,2026-06-03,499925,249496,49.91
AEGISVOPAK,2026-06-03,374145,157652,42.14
AEPL,2026-06-03,7411,3605,48.64
AEQUS,2026-06-03,1881299,651646,34.64
AEROENTER,2026-06-03,325381,86242,26.5
AEROFLEX,2026-06-03,3666854,949660,25.9
AERONEU,2026-06-03,48656,5675,11.66
AETHER,2026-06-03,725322,338810,46.71
AFCONS,2026-06-03,266939,86391,32.36
AFFLE,2026-06-03,105471,40446,38.35
AFSL,2026-06-03,8956,5741,64.1
AGARIND,2026-06-03,15201,5963,39.23
AGARWALEYE,2026-06-03,33822,17038,50.38
AGI,2026-06-03,256359,71274,27.8
AGIIL,2026-06-03,1920321,435427,22.67
AGRITECH,2026-06-03,2085,1083,51.94
AGROPHOS,2026-06-03,17424,12055,69.19
AHCL,2026-06-03,967460,599895,62.01
AHLADA,2026-06-03,6770,5095,75.26
AHLEAST,2026-06-03,1353,756,55.88
AHLUCONT,2026-06-03,40364,22016,54.54
AIAENG,2026-06-03,49880,28111,56.36
AIIL,2026-06-03,325761,127202,39.05
AIRAN,2026-06-03,127153,108461,85.3
