symbol,company_name,debt_to_equity,public_holding,success
RELIANCE,Reliance Industries Ltd share price | About Reliance Industr | Key Insights - Screener,0.0,10.59,True
TCS,Tata Consultancy Services Ltd share price | About TCS | Key Insights - Screener,0.0,5.45,True
HDFCBANK,HDFC Bank Ltd share price | About HDFC Bank | Key Insights - Screener,0.0,13.91,True
INFY,Infosys Ltd share price | About Infosys | Key Insights - Screener,3.0,15.67,True
ICICIBANK,ICICI Bank Ltd share price | About ICICI Bank | Key Insights - Screener,0.0,10.48,True
SBIN,State Bank of India share price | About SBI | Key Insights - Screener,0.0,7.03,True
ITC,ITC Ltd share price | About ITC | Key Insights - Screener,3.0,14.78,True
WIPRO,Wipro Ltd share price | About Wipro | Key Insights - Screener,0.0,12.51,True
MARUTI,Maruti Suzuki India Ltd share price | About Maruti Suzuki | Key Insights - Screener,0.0,3.89,True
SUNPHARMA,Sun Pharmaceutical Industries Ltd share price | About Sun Pharma.Inds. | Key Insights - Screener,0.0,9.38,True
