Symbol,Company Name,Type,MarketCap,Date,Event_Type,Price,SMA20,SMA50,SMA200,Primary_Buy_Ref_Price,Details
ABBOTINDIA,Abbott India Ltd,V40,74391.10636,2024-06-03,Primary_Buy,25941.65,26189.18,26476.74,26512.97,25941.65,MA Crossover Buy
ABBOTINDIA,Abbott India Ltd,V40,74391.10636,2024-07-04,Primary_Sell,27902.35,27399.3,26676.15,26656.11,25941.65,Closed primary buy from 2024-06-03 at 25941.65
ABBOTINDIA,Abbott India Ltd,V40,74391.10636,2025-10-28,Primary_Buy,29770.0,29886.5,30801.2,30813.37,29770.0,MA Crossover Buy
ABBOTINDIA,Abbott India Ltd,V40,74391.10636,2025-12-23,Position_Still_Open,28010.0,28581.5,29211.8,30951.21,29770.0,Primary buy from 2025-10-28 at 29770.00 is still active. No secondary buy triggered yet for this primary cycle.
ACC,ACC LTD,V40Next,36083.24669,2024-10-22,Primary_Buy,2246.35,2375.64,2383.09,2489.35,2246.35,MA Crossover Buy
ACC,ACC LTD,V40Next,36083.24669,2025-01-06,Secondary_Buy_Dip,1984.1,2130.68,2197.67,2414.98,2246.35,10% dip from primary buy
ACC,ACC LTD,V40Next,36083.24669,2025-12-23,Position_Still_Open,1782.5,1802.72,1832.4,1876.06,2246.35,Primary buy from 2024-10-22 at 2246.35 is still active. Secondary buy at 1984.10 is also active.
ADANIPORTS,Adani Ports and Special Economic Zone Limited,V40Next,311103.3504,2024-11-21,Primary_Buy,1114.65,1328.94,1387.2,1388.37,1114.65,MA Crossover Buy
ADANIPORTS,Adani Ports and Special Economic Zone Limited,V40Next,311103.3504,2025-06-03,Primary_Sell,1432.3,1390.78,1279.57,1273.69,1114.65,Closed primary buy from 2024-11-21 at 1114.65
ANGELONE,Angel One Ltd,V40Next,26339.75071,2024-03-06,Primary_Buy,2760.05,3076.31,3270.25,3270.68,2760.05,MA Crossover Buy
ANGELONE,Angel One Ltd,V40Next,26339.75071,2024-03-13,Secondary_Buy_Dip,2435.2,2931.91,3207.45,3221.39,2760.05,10% dip from primary buy
