Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Avg Profit (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Passes Criteria,Screening Date
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,19901586604032,69648.0,3.94,9.72,0.3565,26994.0,18170.0,48.84,False,False,False,2026-01-08
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,14564542382080,67350.83,1.65,10.84,0.0,16257.91,16810.37,99.43,True,False,True,2026-01-08
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,12585997959168,33556.1,7.56,33.02,1.2972,5947.9,9798.73,46.85,False,False,False,2026-01-08
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,11591989854208,48553.0,23.54,47.36,0.1017,12760.0,12171.0,28.2,False,False,True,2026-01-08
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,10261647851520,51029.2,2.19,17.6,0.0,13357.06,13314.4,99.53,True,False,True,2026-01-08
SBIN,State Bank of India,Financial Services,Banks - Regional,9212156444672,77561.34,1.15,15.68,0.0,21201.47,19412.13,44.27,True,True,True,2026-01-08
INFY,Infosys Limited,Technology,Information Technology Services,6526728667136,315.8,14.86,29.03,0.0844,83.9,80.87,87.22,False,False,False,2026-01-08
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,6040800198656,16637.82,3.99,19.09,3.1029,4875.36,4475.24,42.51,True,False,True,2026-01-08
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,5607880392704,10649.0,10.23,21.82,0.0361,2756.0,2679.67,43.38,False,False,False,2026-01-08
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,5541390188544,15037.11,4.71,16.52,1.1185,3617.19,4083.8,83.22,False,False,False,2026-01-08
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,5299083149312,48320.33,0.75,44.62,-0.0026,10957.05,12592.0,4.08,True,False,True,2026-01-08
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,5239204216832,14500.2,6.54,15.65,0.001,3792.4,3580.17,37.24,False,False,False,2026-01-08
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,4468972716032,12929.1,6.71,17.23,1.3229,4083.32,3215.49,68.3,False,False,False,2026-01-08
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,4461413531648,17390.0,13.11,24.33,0.0949,3843.0,4449.0,38.48,False,False,False,2026-01-08
ITC,ITC Limited,Consumer Defensive,Tobacco,4271122153472,34746.63,16.61,27.81,0.0051,5244.2,9885.01,75.6,False,False,False,2026-01-08
