Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Profits (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Passes Criteria,Screening Date
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,19729718706176,69648.0,3.94,9.72,0.3565,26994.0,"19407.0, 18540.0, 16563.0",48.84,False,False,False,2026-01-16
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,14324514947072,67350.83,1.65,10.84,0.0,16257.91,"15393.46, 17656.61, 17381.05",99.43,True,False,True,2026-01-16
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,12282053525504,33556.1,7.56,33.02,1.2972,5947.9,"11021.8, 14781.2, 3593.2",46.85,False,False,False,2026-01-16
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,11602121195520,48553.0,22.51,42.63,0.0944,10657.0,"12760.0, 12224.0, 12380.0",28.2,False,False,True,2026-01-16
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,10090297950208,51029.2,2.19,17.6,0.0,13357.06,"13557.6, 13502.22, 12883.37",99.51,True,False,True,2026-01-16
SBIN,State Bank of India,Financial Services,Banks - Regional,9621072773120,77561.34,1.15,15.68,0.0,21201.47,"19600.46, 18853.16, 19782.76",44.27,True,True,True,2026-01-16
INFY,Infosys Limited,Technology,Information Technology Services,6836226883584,315.8,15.67,32.68,0.1053,74.8,"83.9, 80.9, 81.3",85.13,False,False,False,2026-01-16
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,5905931829248,16637.82,3.99,19.09,3.1029,4875.36,"4699.61, 4479.57, 4246.54",42.51,True,False,True,2026-01-16
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,5546085187584,10649.0,10.23,21.82,0.0361,2756.0,"2464.0, 2984.0, 2591.0",43.38,False,False,False,2026-01-16
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,5304790024192,15037.11,4.71,16.52,1.1185,3617.19,"5497.26, 3358.84, 3395.29",83.22,False,False,False,2026-01-16
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,5189028282368,48320.33,0.75,44.62,-0.0026,10957.05,"19038.67, 11008.65, 7728.68",4.08,True,False,True,2026-01-16
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,4986109952000,14500.2,6.54,15.65,0.001,3792.4,"3911.1, 3726.9, 3102.5",37.24,False,False,False,2026-01-16
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,4594197856256,17390.0,12.32,23.19,0.0975,4076.0,"3843.0, 4307.0",38.48,False,False,False,2026-01-16
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,4390009438208,12929.1,6.71,17.23,1.3229,4083.32,"3295.17, 3180.58, 3170.72",68.3,False,False,False,2026-01-16
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,4158482546688,22125.99,2.16,11.78,0.0,4472.18,"4932.76, 4701.02, 5044.05",73.48,True,False,True,2026-01-16
ITC,ITC Limited,Consumer Defensive,Tobacco,4124533587968,34746.63,16.61,27.81,0.0051,5244.2,"19727.37, 4934.8, 4992.87",75.6,False,False,False,2026-01-16
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,4018889555968,28055.11,1.59,14.0,0.0,6243.72,"7475.13, 6742.29, 7401.26",90.1,True,False,True,2026-01-16
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4004250124288,10929.04,8.57,14.22,0.0668,2278.63,"2149.88, 2903.38, 3040.16",44.37,False,False,False,2026-01-16
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,3722840113152,3337.0,8.52,36.64,2.2302,1091.0,"871.0, 1047.0, 704.0",36.09,False,False,False,2026-01-16
