Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Profits (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Screening Date
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
TEST,Test Company,Technology,Software,1000000000000,300,25,15,0.2,80,"60, 70, 75",20,False,False,2026-08-19
