Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
20MICRONS,61.0,60.0,819.0,824.0
21STCENMGM,-15.0,32.0,-13.0,37.0
360ONE,367.0,679.0,256.0,934.0
3BBLACKBIO,51.0,49.0,100.0,97.0
3IINFOLTD,26.0,324.0,314.0,401.0
3MINDIA,578.0,583.0,5317.0,5090.0
3PLAND,2.27,4.43,4.81,157.05
5PAISA,44.0,68.0,330.0,395.0
63MOONS,160.0,445.0,119.0,352.0
A2ZINFRA,-2.0,32.0,106.0,955.0
AAATECH,2.08,3.69,19.37,21.79
AADHARHFC,1140.0,1095.0,3817.0,3683.0
AAKASH,3.0,6.0,116.0,112.0
AAREYDRUGS,4.0,7.0,415.0,493.0
AARNAV,9.0,9.0,452.0,462.0
AARON,,8.24,,92.01
AARTECH,0.76,3.5,35.8,40.18
AARTIDRUGS,171.0,258.0,2367.0,2498.0
AARTIIND,524.0,1182.0,9040.0,8423.0
AARTIPHARM,208.0,257.0,1957.0,1798.0
AARTISURF,19.0,22.0,916.0,859.0
AARVI,15.0,14.0,590.0,570.0
AASTHA,,24.0,,443.0
AAVAS,687.0,655.0,2765.0,2683.0
ABAN,19.0,290.0,108.0,1014.0
ABANSENT,-4.0,3.0,144.0,332.0
ABB,2988.0,1872.0,13477.0,13203.0
ABBOTINDIA,1615.0,1552.0,7004.0,6929.0
ABCAPITAL,3327.0,3109.0,18453.0,17473.0
ABCOTS,14.0,13.0,333.0,299.0
ABDL,276.0,268.0,3931.0,8115.0
ABFRL,-409.0,321.0,6101.0,11737.0
ABINFRA,20.0,19.0,272.0,256.0
ABLBL,144.0,135.0,8582.0,8373.0
ABMINTLLTD,-1.38,10.17,50.61,155.95
ABMKNO,11.0,20.0,91.0,95.0
ABREL,368.0,6076.0,257.0,7967.0
ABSLAMC,1020.0,986.0,1844.0,2041.0
ACC,2050.0,2425.0,25226.0,25766.0
ACCELYA,,130.0,,527.0
ACCURACY,3.0,18.0,632.0,941.0
ACE,447.0,425.0,3403.0,3320.0
ACEINTEG,-0.85,1.63,0.5,22.15
ACI,143.0,384.0,1079.0,1441.0
ACL,-73.0,950.0,485.0,466.0
ACMESOLAR,461.0,420.0,5895.0,3911.0
ACSTECH,10.0,7.0,212.0,171.0
ACUTAAS,397.0,366.0,1440.0,1324.0
ADANIENSOL,464.0,618.0,3476.0,3383.0
ADANIENT,9984.0,11378.0,23138.0,57844.0
ADANIGREEN,519.0,654.0,19757.0,19613.0
ADANIPORTS,2631.0,3101.0,8937.0,8535.0
ADANIPOWER,11974.0,19632.0,48589.0,49711.0
ADFFOODS,98.0,97.0,549.0,528.0
ADL,-0.11,0.73,46.32,54.28
ADOR,114.0,89.0,1194.0,1135.0
ADROITINFO,-1.38,2.37,4.25,22.55
ADSL,-2.0,22.0,384.0,388.0
ADVAIT,51.0,46.0,504.0,448.0
ADVANCE,49.0,35.0,800.0,638.0
ADVANIHOTR,23.0,29.0,108.0,107.0
ADVENTHTL,85.0,0.0,5.0,0.0
ADVENZYMES,80.0,132.0,444.0,453.0
AEGISLOG,1269.0,944.0,4724.0,4492.0
AEGISVOPAK,281.0,273.0,682.0,642.0
AEPL,8.81,12.49,77.08,106.92
AEQUS,50.0,50.0,134.0,124.0
AEROENTER,99.0,230.0,10.0,107.0
AEROFLEX,67.0,55.0,472.0,412.0
AERONEU,0.91,4.02,98.84,113.57
