Symbol,Live_Price,Price_As_Of
20MICRONS,189.5,2026-08-10T06:06:12+00:00
21STCENMGM,43.689998626708984,2026-08-10T06:06:12+00:00
360ONE,1183.5999755859375,2026-08-10T06:06:12+00:00
3BBLACKBIO,1232.9000244140625,2026-08-10T06:06:12+00:00
3IINFOLTD,26.510000228881836,2026-08-10T06:06:12+00:00
3MINDIA,36110.0,2026-08-10T06:06:12+00:00
3PLAND,31.799999237060547,2026-08-10T06:06:12+00:00
5PAISA,382.45001220703125,2026-08-10T06:06:12+00:00
63MOONS,861.1500244140625,2026-08-10T06:06:12+00:00
A2ZINFRA,17.329999923706055,2026-08-10T06:06:12+00:00
AAATECH,96.9800033569336,2026-08-10T06:06:12+00:00
AADHARHFC,500.8500061035156,2026-08-10T06:06:12+00:00
AAKASH,9.010000228881836,2026-08-10T06:06:12+00:00
AAREYDRUGS,81.77999877929688,2026-08-10T06:06:12+00:00
AARNAV,31.3700008392334,2026-08-10T06:06:12+00:00
AARON,137.67999267578125,2026-08-10T06:06:12+00:00
AARTECH,45.72999954223633,2026-08-10T06:06:12+00:00
AARTIDRUGS,419.6499938964844,2026-08-10T06:06:12+00:00
AARTIIND,500.8500061035156,2026-08-10T06:06:12+00:00
AARTIPHARM,823.0,2026-08-10T06:06:12+00:00
AARTISURF,525.9500122070312,2026-08-10T06:06:12+00:00
AARVI,154.0,2026-08-10T06:06:12+00:00
AASTHA,73.55000305175781,2026-08-10T06:06:12+00:00
AAVAS,1387.5,2026-08-10T06:06:12+00:00
ABAN,19.989999771118164,2026-08-10T06:06:12+00:00
ABANSENT,26.200000762939453,2026-08-10T06:06:12+00:00
ABB,7591.0,2026-08-10T06:06:12+00:00
ABBOTINDIA,27705.0,2026-08-10T06:06:12+00:00
ABCAPITAL,410.29998779296875,2026-08-10T06:06:12+00:00
ABCOTS,202.89999389648438,2026-08-10T06:06:12+00:00
ABDL,612.25,2026-08-10T06:06:12+00:00
ABFRL,60.04999923706055,2026-08-10T06:06:12+00:00
ABINFRA,9.930000305175781,2026-08-10T06:06:12+00:00
ABLBL,91.76000213623047,2026-08-10T06:06:12+00:00
ABMINTLLTD,43.79999923706055,2026-08-10T06:06:12+00:00
ABMKNO,185.0,2026-08-10T06:06:12+00:00
ABREL,1398.5999755859375,2026-08-10T06:06:12+00:00
ABSLAMC,1014.2999877929688,2026-08-10T06:06:12+00:00
ACC,1361.300048828125,2026-08-10T06:06:12+00:00
ACCELYA,1155.0,2026-08-10T06:06:12+00:00
ACCURACY,4.800000190734863,2026-08-10T06:06:12+00:00
ACE,1087.300048828125,2026-08-10T06:06:12+00:00
ACEINTEG,19.299999237060547,2026-08-10T06:06:12+00:00
ACI,520.5,2026-08-10T06:06:12+00:00
ACL,47.790000915527344,2026-08-10T06:06:12+00:00
ACMESOLAR,366.8999938964844,2026-08-10T06:06:12+00:00
ACSTECH,45.7400016784668,2026-08-10T06:06:12+00:00
ACUTAAS,3280.800048828125,2026-08-10T06:06:12+00:00
ADANIENSOL,1620.199951171875,2026-08-10T06:06:12+00:00
ADANIENT,2993.199951171875,2026-08-10T06:06:12+00:00
ADANIGREEN,1363.800048828125,2026-08-10T06:06:12+00:00
ADANIPORTS,1676.0,2026-08-10T06:06:12+00:00
ADANIPOWER,208.3300018310547,2026-08-10T06:06:12+00:00
ADFFOODS,261.3999938964844,2026-08-10T06:06:12+00:00
ADL,69.26000213623047,2026-08-10T06:06:12+00:00
ADOR,1532.5999755859375,2026-08-10T06:06:12+00:00
ADROITINFO,9.8100004196167,2026-08-10T06:06:12+00:00
ADSL,116.94999694824219,2026-08-10T06:06:12+00:00
ADVAIT,2203.199951171875,2026-08-10T06:06:12+00:00
ADVANCE,123.51000213623047,2026-08-10T06:06:12+00:00
ADVANIHOTR,50.5,2026-08-10T06:06:12+00:00
ADVENTHTL,146.80999755859375,2026-08-10T06:06:12+00:00
ADVENZYMES,299.79998779296875,2026-08-10T06:06:12+00:00
AEGISLOG,1333.9000244140625,2026-08-10T06:06:12+00:00
AEGISVOPAK,282.79998779296875,2026-08-10T06:06:12+00:00
AEPL,16.34000015258789,2026-08-10T06:06:12+00:00
AEQUS,251.60000610351562,2026-08-10T06:06:12+00:00
AEROENTER,129.55999755859375,2026-08-10T06:06:12+00:00
AEROFLEX,419.0,2026-08-10T06:06:12+00:00
AERONEU,84.23999786376953,2026-08-10T06:06:12+00:00
AEROPLANE,195.7899932861328,2026-08-10T06:06:12+00:00
AETHER,1608.9000244140625,2026-08-10T06:06:12+00:00
AFCONS,265.5,2026-08-10T06:06:12+00:00
AFFLE,1662.300048828125,2026-08-10T06:06:12+00:00
AFFORDABLE,198.0,2026-08-10T06:06:12+00:00
AFIL,9.399999618530273,2026-08-10T06:06:12+00:00
AFSL,201.07000732421875,2026-08-10T06:06:12+00:00
AGARIND,513.9500122070312,2026-08-10T06:06:12+00:00
AGARWALEYE,558.0,2026-08-10T06:06:12+00:00
AGI,709.7000122070312,2026-08-10T06:06:12+00:00
AGIIL,302.5,2026-08-10T06:06:12+00:00
AGL,13.390000343322754,2026-08-10T06:06:12+00:00
AGRITECH,111.38999938964844,2026-08-10T06:06:12+00:00
AGROPHOS,28.440000534057617,2026-08-10T06:06:12+00:00
AGSTRA,2.0,2026-08-10T06:06:12+00:00
AHCL,14.720000267028809,2026-08-10T06:06:12+00:00
AHLADA,38.54999923706055,2026-08-10T06:06:12+00:00
AHLEAST,143.0,2026-08-10T06:06:12+00:00
AHLUCONT,819.4000244140625,2026-08-10T06:06:12+00:00
AHLWEST,526.0,2026-08-10T06:06:12+00:00
AIAENG,4800.0,2026-08-10T06:06:12+00:00
AIIL,588.75,2026-08-10T06:06:12+00:00
AIRAN,15.020000457763672,2026-08-10T06:06:12+00:00
AIROLAM,90.05000305175781,2026-08-10T06:06:12+00:00
AJANTPHARM,3493.39990234375,2026-08-10T06:06:12+00:00
AJAXENGG,567.8499755859375,2026-08-10T06:06:12+00:00
AJMERA,124.41999816894531,2026-08-10T06:06:12+00:00
AJOONI,3.950000047683716,2026-08-10T06:06:12+00:00
AKASH,26.329999923706055,2026-08-10T06:06:12+00:00
AKCAPIT,1731.0,2026-08-10T06:06:12+00:00
AKG,8.569999694824219,2026-08-10T06:06:12+00:00
AKI,4.369999885559082,2026-08-10T06:06:12+00:00
AKSHAR,0.4300000071525574,2026-08-10T06:06:12+00:00
AKSHARCHEM,279.95001220703125,2026-08-10T06:06:12+00:00
AKSHOPTFBR,6.519999980926514,2026-08-10T06:06:12+00:00
AKUMS,748.8499755859375,2026-08-10T06:06:12+00:00
ALANKIT,8.220000267028809,2026-08-10T06:06:12+00:00
ALBERTDAVD,793.5499877929688,2026-08-10T06:06:12+00:00
ALEMBICLTD,85.86000061035156,2026-08-10T06:06:12+00:00
ALGOQUANT,66.80999755859375,2026-08-10T06:06:12+00:00
ALICON,736.7999877929688,2026-08-10T06:06:12+00:00
ALIVUS,1358.699951171875,2026-08-10T06:06:12+00:00
ALKALI,66.0,2026-08-10T06:06:12+00:00
ALKEM,5592.0,2026-08-10T06:06:12+00:00
ALKYLAMINE,1918.5,2026-08-10T06:06:12+00:00
ALLCARGO,9.949999809265137,2026-08-10T06:06:12+00:00
ALLDIGI,812.0,2026-08-10T06:06:12+00:00
ALLTIME,218.42999267578125,2026-08-10T06:06:12+00:00
ALMONDZ,14.279999732971191,2026-08-10T06:06:12+00:00
ALOKINDS,11.970000267028809,2026-08-10T06:06:12+00:00
ALPA,68.62000274658203,2026-08-10T06:06:12+00:00
ALPHAGEO,247.6999969482422,2026-08-10T06:06:12+00:00
ALPINETEX,63.529998779296875,2026-08-10T06:06:12+00:00
AMAGI,649.7000122070312,2026-08-10T06:06:12+00:00
AMANTA,162.8300018310547,2026-08-10T06:06:12+00:00
AMBALALSA,48.79999923706055,2026-08-10T06:06:12+00:00
AMBER,7159.0,2026-08-10T06:06:12+00:00
AMBICAAGAR,24.989999771118164,2026-08-10T06:06:12+00:00
AMBIKCO,1699.0,2026-08-10T06:06:12+00:00
AMBUJACEM,432.1499938964844,2026-08-10T06:06:12+00:00
AMDIND,47.29999923706055,2026-08-10T06:06:12+00:00
AMJLAND,38.52000045776367,2026-08-10T06:06:12+00:00
AMNPLST,200.77999877929688,2026-08-10T06:06:12+00:00
AMRUTANJAN,526.9000244140625,2026-08-10T06:06:12+00:00
ANANDRATHI,2107.0,2026-08-10T06:06:12+00:00
ANANTRAJ,615.2999877929688,2026-08-10T06:06:12+00:00
ANDHRAPAP,60.77000045776367,2026-08-10T06:06:12+00:00
ANDHRSUGAR,101.88999938964844,2026-08-10T06:06:12+00:00
ANGELONE,290.54998779296875,2026-08-10T06:06:12+00:00
ANIKINDS,42.97999954223633,2026-08-10T06:06:12+00:00
ANKITMETAL,1.590000033378601,2026-08-10T06:06:12+00:00
ANMOL,10.449999809265137,2026-08-10T06:06:12+00:00
ANSALAPI,3.509999990463257,2026-08-10T06:06:12+00:00
ANTELOPUS,806.25,2026-08-10T06:06:12+00:00
ANTGRAPHIC,0.7400000095367432,2026-08-10T06:06:12+00:00
ANTHEM,855.2999877929688,2026-08-10T06:06:12+00:00
ANUHPHR,77.91000366210938,2026-08-10T06:06:12+00:00
ANUP,1911.699951171875,2026-08-10T06:06:12+00:00
ANURAS,1214.0,2026-08-10T06:06:12+00:00
APARINDS,16789.0,2026-08-10T06:06:12+00:00
APCL,104.51000213623047,2026-08-10T06:06:12+00:00
APCOTEXIND,619.3499755859375,2026-08-10T06:06:12+00:00
APEX,379.0,2026-08-10T06:06:12+00:00
APLAPOLLO,1971.0,2026-08-10T06:06:12+00:00
APLLTD,838.2999877929688,2026-08-10T06:06:12+00:00
APOLLO,390.25,2026-08-10T06:06:12+00:00
APOLLOHOSP,8907.0,2026-08-10T06:06:12+00:00
APOLLOPIPE,513.4000244140625,2026-08-10T06:06:12+00:00
APOLLOTYRE,451.0,2026-08-10T06:06:12+00:00
APOLSINHOT,1232.0,2026-08-10T06:06:12+00:00
APTECHT,95.5999984741211,2026-08-10T06:06:12+00:00
APTUS,258.1499938964844,2026-08-10T06:06:12+00:00
AQYLON,27.200000762939453,2026-08-10T06:06:12+00:00
ARCHIDPLY,96.18000030517578,2026-08-10T06:06:12+00:00
ARCHIES,13.989999771118164,2026-08-10T06:06:12+00:00
ARE&M,936.0,2026-08-10T06:06:12+00:00
ARENTERP,38.75,2026-08-10T06:06:12+00:00
ARFIN,88.30999755859375,2026-08-10T06:06:12+00:00
ARIES,341.0,2026-08-10T06:06:12+00:00
ARIHANT,1133.5,2026-08-10T06:06:12+00:00
ARIHANTCAP,75.91000366210938,2026-08-10T06:06:12+00:00
ARIHANTSUP,265.6499938964844,2026-08-10T06:06:12+00:00
ARIS,135.85000610351562,2026-08-10T06:06:12+00:00
ARKADE,135.5500030517578,2026-08-10T06:06:12+00:00
ARMANFIN,1965.5999755859375,2026-08-10T06:06:12+00:00
AROGRANITE,24.899999618530273,2026-08-10T06:06:12+00:00
ARROWGREEN,761.9000244140625,2026-08-10T06:06:12+00:00
ARSHIYA,0.9800000190734863,2026-08-10T06:06:12+00:00
ARSSBL,504.75,2026-08-10T06:06:12+00:00
ARTEMISMED,319.6000061035156,2026-08-10T06:06:12+00:00
ARTNIRMAN,42.599998474121094,2026-08-10T06:06:12+00:00
ARVEE,159.0,2026-08-10T06:06:12+00:00
ARVIND,549.5999755859375,2026-08-10T06:06:12+00:00
ARVINDFASN,460.8999938964844,2026-08-10T06:06:12+00:00
ARVSMART,661.0,2026-08-10T06:06:12+00:00
ASAHIINDIA,903.5,2026-08-10T06:06:12+00:00
ASAHISONG,359.0,2026-08-10T06:06:12+00:00
ASAL,504.1000061035156,2026-08-10T06:06:12+00:00
ASALCBR,737.75,2026-08-10T06:06:12+00:00
ASHAPURMIN,660.8499755859375,2026-08-10T06:06:12+00:00
ASHIANA,379.70001220703125,2026-08-10T06:06:12+00:00
ASHIKAG,445.04998779296875,2026-08-10T06:06:12+00:00
ASHIMASYN,17.899999618530273,2026-08-10T06:06:12+00:00
ASHOKA,117.87000274658203,2026-08-10T06:06:12+00:00
ASHOKAMET,14.050000190734863,2026-08-10T06:06:12+00:00
ASHOKLEY,177.3300018310547,2026-08-10T06:06:12+00:00
ASIANENE,404.3500061035156,2026-08-10T06:06:12+00:00
ASIANHOTNR,318.25,2026-08-10T06:06:12+00:00
ASIANPAINT,2746.10009765625,2026-08-10T06:06:12+00:00
ASIANTILES,54.7599983215332,2026-08-10T06:06:12+00:00
ASKAUTOLTD,647.0,2026-08-10T06:06:12+00:00
ASMS,7.159999847412109,2026-08-10T06:06:12+00:00
ASPINWALL,239.02000427246094,2026-08-10T06:06:12+00:00
ASTAR,609.0,2026-08-10T06:06:12+00:00
ASTEC,623.6500244140625,2026-08-10T06:06:12+00:00
ASTERDM,872.9500122070312,2026-08-10T06:06:12+00:00
ASTRAL,1439.9000244140625,2026-08-10T06:06:12+00:00
ASTRAMICRO,1823.0999755859375,2026-08-10T06:06:12+00:00
ASTRAZEN,8207.0,2026-08-10T06:06:12+00:00
ASTRON,3.5999999046325684,2026-08-10T06:06:12+00:00
ATALREAL,35.150001525878906,2026-08-10T06:06:12+00:00
ATAM,65.68000030517578,2026-08-10T06:06:12+00:00
ATGL,659.0,2026-08-10T06:06:12+00:00
ATHERENERG,1472.9000244140625,2026-08-10T06:06:12+00:00
ATL,25.360000610351562,2026-08-10T06:06:12+00:00
ATLANTAA,41.34000015258789,2026-08-10T06:06:12+00:00
ATLANTAELE,1604.0,2026-08-10T06:06:12+00:00
ATLASCYCLE,98.1500015258789,2026-08-10T06:06:12+00:00
ATUL,6893.0,2026-08-10T06:06:12+00:00
ATULAUTO,523.9000244140625,2026-08-10T06:06:12+00:00
AUBANK,1066.4000244140625,2026-08-10T06:06:12+00:00
AURIONPRO,739.9000244140625,2026-08-10T06:06:12+00:00
AUROPHARMA,1653.4000244140625,2026-08-10T06:06:12+00:00
AURUM,228.63999938964844,2026-08-10T06:06:12+00:00
AURUS,4.829999923706055,2026-08-10T06:06:12+00:00
AUSOMENT,143.8000030517578,2026-08-10T06:06:12+00:00
AUTOAXLES,1837.800048828125,2026-08-10T06:06:12+00:00
AUTOIND,93.81999969482422,2026-08-10T06:06:12+00:00
AVADHSUGAR,632.5999755859375,2026-08-10T06:06:12+00:00
AVALON,1922.699951171875,2026-08-10T06:06:12+00:00
AVANTEL,162.07000732421875,2026-08-10T06:06:12+00:00
AVANTIFEED,911.3499755859375,2026-08-10T06:06:12+00:00
AVG,200.0,2026-08-10T06:06:12+00:00
AVL,618.0499877929688,2026-08-10T06:06:12+00:00
AVONMORE,10.75,2026-08-10T06:06:12+00:00
AVROIND,8.970000267028809,2026-08-10T06:06:12+00:00
AVTNPL,72.01000213623047,2026-08-10T06:06:12+00:00
AWFIS,270.04998779296875,2026-08-10T06:06:12+00:00
AWHCL,416.75,2026-08-10T06:06:12+00:00
AWL,196.77000427246094,2026-08-10T06:06:12+00:00
AXISBANK,1242.0,2026-08-10T06:06:12+00:00
AXISCADES,1599.0,2026-08-10T06:06:12+00:00
AXITA,7.309999942779541,2026-08-10T06:06:12+00:00
AYE,174.94000244140625,2026-08-10T06:06:12+00:00
AYMSYNTEX,254.39999389648438,2026-08-10T06:06:12+00:00
AZAD,2530.800048828125,2026-08-10T06:06:12+00:00
BAFNAPH,285.0,2026-08-10T06:06:12+00:00
BAGFILMS,4.329999923706055,2026-08-10T06:06:12+00:00
BAIDFIN,10.039999961853027,2026-08-10T06:06:12+00:00
BAJAJ-AUTO,11767.0,2026-08-10T06:06:12+00:00
BAJAJCON,543.8499755859375,2026-08-10T06:06:12+00:00
BAJAJELEC,365.1499938964844,2026-08-10T06:06:12+00:00
BAJAJFINSV,2016.0,2026-08-10T06:06:12+00:00
BAJAJHCARE,326.79998779296875,2026-08-10T06:06:12+00:00
BAJAJHFL,85.13999938964844,2026-08-10T06:06:12+00:00
BAJAJHIND,18.170000076293945,2026-08-10T06:06:12+00:00
BAJAJHLDNG,11401.0,2026-08-10T06:06:12+00:00
BAJAJINDEF,232.94000244140625,2026-08-10T06:06:12+00:00
BAJAJST,403.6000061035156,2026-08-10T06:06:12+00:00
BAJEL,191.14999389648438,2026-08-10T06:06:12+00:00
BAJFINANCE,1083.800048828125,2026-08-10T06:06:12+00:00
BALAJEE,27.579999923706055,2026-08-10T06:06:12+00:00
BALAJITELE,91.11000061035156,2026-08-10T06:06:12+00:00
BALAMINES,2063.300048828125,2026-08-10T06:06:12+00:00
BALAXI,24.5,2026-08-10T06:06:12+00:00
BALKRISHNA,17.600000381469727,2026-08-10T06:06:12+00:00
BALKRISIND,2516.10009765625,2026-08-10T06:06:12+00:00
BALMLAWRIE,174.30999755859375,2026-08-10T06:06:12+00:00
BALPHARMA,91.0,2026-08-10T06:06:12+00:00
BALRAMCHIN,645.5,2026-08-10T06:06:12+00:00
BALUFORGE,465.79998779296875,2026-08-10T06:06:12+00:00
BANARBEADS,116.69999694824219,2026-08-10T06:06:12+00:00
BANARISUG,3500.0,2026-08-10T06:06:12+00:00
BANCOINDIA,631.7999877929688,2026-08-10T06:06:12+00:00
BANDHANBNK,175.61000061035156,2026-08-10T06:06:12+00:00
BANG,30.360000610351562,2026-08-10T06:06:12+00:00
BANKA,84.22000122070312,2026-08-10T06:06:12+00:00
BANKBARODA,250.1999969482422,2026-08-10T06:06:12+00:00
BANKINDIA,142.44000244140625,2026-08-10T06:06:12+00:00
BANSALWIRE,326.04998779296875,2026-08-10T06:06:12+00:00
BANSWRAS,123.5,2026-08-10T06:06:12+00:00
BASF,4110.0,2026-08-10T06:06:12+00:00
BASML,27.889999389648438,2026-08-10T06:06:12+00:00
BATAINDIA,720.5499877929688,2026-08-10T06:06:12+00:00
BATLIBOI,88.75,2026-08-10T06:06:12+00:00
BAYERCROP,4157.2001953125,2026-08-10T06:06:12+00:00
BBL,2303.800048828125,2026-08-10T06:06:12+00:00
BBOX,754.7000122070312,2026-08-10T06:06:12+00:00
BBTC,1517.800048828125,2026-08-10T06:06:12+00:00
BBTCL,223.8699951171875,2026-08-10T06:06:12+00:00
BCG,10.039999961853027,2026-08-10T06:06:12+00:00
BCLIND,37.40999984741211,2026-08-10T06:06:12+00:00
BCONCEPTS,170.88999938964844,2026-08-10T06:06:12+00:00
BCPL,70.45999908447266,2026-08-10T06:06:12+00:00
BDL,1287.0,2026-08-10T06:06:12+00:00
BEARDSELL,27.040000915527344,2026-08-10T06:06:12+00:00
BECTORFOOD,227.89999389648438,2026-08-10T06:06:12+00:00
BEDMUTHA,112.5,2026-08-10T06:06:12+00:00
BEEKAY,400.0,2026-08-10T06:06:12+00:00
BEL,402.29998779296875,2026-08-10T06:06:12+00:00
BELLACASA,241.8800048828125,2026-08-10T06:06:12+00:00
BELRISE,254.50999450683594,2026-08-10T06:06:12+00:00
BEML,1895.9000244140625,2026-08-10T06:06:12+00:00
BENGALASM,6284.5,2026-08-10T06:06:12+00:00
BEPL,126.66000366210938,2026-08-10T06:06:12+00:00
BERGEPAINT,537.5499877929688,2026-08-10T06:06:12+00:00
BESTAGRO,20.3700008392334,2026-08-10T06:06:12+00:00
BETA,2506.300048828125,2026-08-10T06:06:12+00:00
BFINVEST,476.0,2026-08-10T06:06:12+00:00
BFUTILITIE,564.4000244140625,2026-08-10T06:06:12+00:00
