Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
20MICRONS,68.0,67.0,951.0,954.0
21STCENMGM,-17.0,32.0,-11.0,260.0
360ONE,1262.0,1216.0,4621.0,4470.0
3BBLACKBIO,56.0,114.0,153.0,227.0
3IINFOLTD,34.0,391.0,701.0,1344.0
3MINDIA,611.0,583.0,4186.0,4189.0
3PLAND,2.27,3.69,4.81,205.25
5PAISA,44.0,68.0,330.0,395.0
63MOONS,-99.0,426.0,318.0,369.0
A2ZINFRA,5.0,287.0,364.0,1349.0
AAATECH,2.08,3.69,19.37,21.79
AADHARHFC,1141.0,1096.0,3817.0,3683.0
AAKASH,5.0,6.0,103.0,93.0
AAREYDRUGS,4.0,7.0,415.0,493.0
AARNAV,9.0,9.0,452.0,462.0
AARON,8.29,8.24,97.21,92.01
AARTECH,4.89,3.97,43.83,40.88
AARTIDRUGS,191.0,280.0,2678.0,2716.0
AARTIIND,531.0,1186.0,9010.0,8286.0
AARTIPHARM,213.0,272.0,1969.0,2115.0
AARTISURF,18.0,22.0,916.0,859.0
AARVI,19.0,18.0,671.0,650.0
AASTHA,,,,
AAVAS,687.0,655.0,2765.0,2683.0
ABAN,32.0,34.0,14419.0,13813.0
ABANSENT,32.0,34.0,14419.0,13813.0
ABB,2988.0,1872.0,13477.0,13203.0
ABBOTINDIA,1615.0,1552.0,7004.0,6929.0
ABCAPITAL,4119.0,4824.0,48186.0,45513.0
ABCOTS,14.0,13.0,333.0,299.0
ABDL,210.0,220.0,3979.0,3923.0
ABFRL,-845.0,321.0,8371.0,12418.0
ABINFRA,20.0,19.0,272.0,256.0
ABLBL,176.0,171.0,8601.0,8396.0
ABMINTLLTD,-1.38,10.16,50.61,155.95
ABMKNO,10.0,22.0,105.0,103.0
ABREL,-122.0,6063.0,450.0,7645.0
ABSLAMC,1007.0,975.0,1861.0,2056.0
ACC,1909.0,2402.0,25442.0,25962.0
ACCELYA,,,,
ACCURACY,4.0,18.0,650.0,945.0
ACE,437.0,415.0,3414.0,3327.0
ACEINTEG,-0.85,1.63,0.5,22.15
ACI,96.0,383.0,1116.0,1441.0
ACL,-73.0,950.0,485.0,466.0
ACMESOLAR,602.0,698.0,2370.0,2023.0
ACSTECH,12.0,9.0,332.0,264.0
ACUTAAS,387.0,356.0,1462.0,1339.0
ADANIENSOL,3090.0,2393.0,30480.0,27588.0
ADANIENT,7513.0,9951.0,111431.0,127540.0
