Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA200_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,Signal
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1280.0,False,83556.0,True,False,-19.82,-12.14,False,962820.0,EXIT
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1978.0,False,30925.3,False,True,16.99,-1.72,False,172985.0,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,735.0,False,49307.979999999996,False,False,-29.98,-29.78,False,,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1450.0999755859375,True,56090.159999999996,True,True,-3.81,-3.72,False,,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1055.0,False,62161.45,False,True,27.72,27.67,True,,HOLD
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2413.0,False,50484.0,True,False,-26.11,-25.35,False,267021.0,EXIT
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1158.800048828125,True,20303.53,True,True,25.86,25.81,True,,ADD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4057.0,False,16280.750000000002,True,True,8.51,6.96,True,255734.0,HOLD
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2085.300048828125,False,15028.0,True,False,-15.78,-21.84,False,63121.0,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1940.0,True,10511.350000000002,False,True,6.62,14.76,True,52578.0,HOLD
INFY,Infosys Limited,Technology,Information Technology Services,1174.0,False,332.4,False,False,-24.46,-23.72,False,162990.0,EXIT
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,14190.0,False,15241.6,True,False,4.55,9.07,True,152913.0,HOLD
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,4912.39990234375,True,4825.0,True,True,35.16,39.6,True,60456.0,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3050.0,False,7007.960000000001,False,True,20.33,26.89,True,127540.0,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3455.39990234375,False,18880.07,True,True,-1.07,3.46,False,159211.0,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,208.99000549316406,False,14687.210000000001,False,True,87.77,76.21,True,56203.0,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1700.0,False,13317.560000000001,True,True,22.65,21.06,True,30475.0,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,400.0,False,15827.900000000001,False,False,-4.35,-4.26,False,,EXIT
