Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,ATH_Sales_Flag,Signal
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1334.800048828125,False,83556.0,True,False,-16.81,-8.42,False,962820.0,True,EXIT
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1959.9000244140625,False,30925.3,False,True,15.79,-2.55,False,172985.0,True,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,731.0,False,49307.979999999996,False,False,-32.69,-31.22,False,,False,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1421.0,True,56090.159999999996,True,True,-7.18,-5.83,False,,False,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1097.199951171875,False,62161.45,False,True,30.61,31.79,True,,False,HOLD
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2452.699951171875,False,50484.0,True,False,-24.82,-23.99,False,267021.0,True,EXIT
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1078.0,False,20303.53,True,True,16.9,18.14,True,,False,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4056.0,False,16280.750000000002,True,True,5.93,6.89,True,255734.0,True,HOLD
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2096.0,False,15028.0,True,False,-17.47,-21.23,False,63121.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1945.0,True,10511.350000000002,False,True,7.05,17.2,True,52578.0,True,HOLD
INFY,Infosys Limited,Technology,Information Technology Services,1175.0999755859375,False,332.4,False,False,-23.52,-22.71,False,162990.0,True,EXIT
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,14037.0,False,15241.6,True,False,-1.35,6.64,False,152913.0,True,EXIT
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,4941.0,True,4825.0,True,True,32.27,40.17,True,60456.0,True,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3020.0,False,7007.960000000001,False,True,22.44,29.75,True,127540.0,False,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3502.0,False,18880.07,True,True,-3.42,4.57,False,159211.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,209.0,False,14687.210000000001,False,True,86.77,76.01,True,56203.0,True,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1693.5,False,13317.560000000001,True,True,20.46,21.39,True,30475.0,True,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,390.75,False,15827.900000000001,False,False,-7.77,-6.41,False,,False,EXIT
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,1238.0,False,28489.31,True,False,9.27,10.55,True,,False,HOLD
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1356.5999755859375,False,13188.0,False,False,-13.3,-12.54,False,117055.0,True,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,286.1000061035156,False,20494.55,False,False,-31.66,-35.31,False,75323.0,True,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,12105.0,False,9533.34,True,True,-6.24,-5.85,False,75955.0,True,HOLD
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,342.5,False,28706.79,True,False,8.0,-0.62,False,188138.0,True,EXIT
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2008.9000244140625,False,9800.970000000001,True,True,-0.85,0.47,False,133822.0,True,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11662.0,False,11759.400000000001,True,True,29.33,37.23,True,50995.0,True,HOLD
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,4910.0,False,9115.6,True,True,2.44,3.41,True,30981.0,True,HOLD
JSWSTEEL,JSW Steel Limited,Basic Materials,Steel,1299.5,True,25344.0,True,True,17.23,17.56,True,175006.0,False,ADD
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,238.85000610351562,False,41424.38,False,False,-10.61,-2.38,False,632291.0,False,EXIT
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1540.0,True,3477.1800000000003,False,True,37.49,33.35,True,24394.0,False,HOLD
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,401.0,False,5828.57,True,False,-2.05,-1.07,False,23769.0,True,EXIT
ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,315.0,False,393.0,False,True,-8.1,-0.09,False,20243.0,True,EXIT
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,394.0,False,47354.67,False,False,-16.84,-15.45,False,889970.0,True,EXIT
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,271.6000061035156,False,16504.74,False,False,-0.99,-9.37,False,45843.0,False,EXIT
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2735.0,False,4764.83,False,True,4.27,4.63,True,35495.0,False,HOLD
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,3900.0,False,3146.09,True,False,-9.2,-13.01,False,59358.0,True,EXIT
COALINDIA,Coal India Limited,Energy,Thermal Coal,415.25,False,35645.79,False,False,-3.09,4.92,False,144762.0,False,EXIT
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,1115.0,True,11162.76,False,True,72.26,73.25,True,,False,HOLD
