Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1992.0999755859375,False,15408.0,False,True,21.01,2.28,True,124600.0,121493.0,True,HOLD
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,727.0,False,75576.0,True,False,-31.92,-31.01,False,309415.0,307522.0,True,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1406.800048828125,False,52183.0,True,True,-5.82,-5.02,False,172670.0,169946.0,True,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1067.699951171875,False,81993.0,True,True,24.48,25.14,True,493000.0,482797.0,True,HOLD
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1087.0,False,19016.0,True,True,21.47,22.15,True,73287.0,71267.0,True,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4057.0,False,7257.0,False,True,4.9,6.3,True,156234.0,153680.0,True,HOLD
LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,413.5,False,59924.0,True,False,-11.7,-10.88,False,991507.0,976280.0,True,EXIT
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2077.0,False,15326.0,False,False,-16.48,-20.3,False,63458.0,61975.0,True,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1169.199951171875,False,30346.0,True,False,-22.78,-23.27,False,153501.0,148819.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1930.0,True,2994.0,False,True,2.03,13.55,True,20901.0,22977.0,False,HOLD
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13834.0,False,14039.0,False,False,-3.27,2.91,False,197129.0,183266.0,True,EXIT
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,5056.2001953125,True,5299.0,True,True,34.78,40.87,True,81091.0,77554.0,True,ADD
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3035.10009765625,False,9984.0,False,True,20.04,28.99,True,23138.0,57844.0,False,HOLD
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3428.199951171875,False,15874.0,True,True,-5.77,0.42,False,155581.0,147765.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,205.25,False,11974.0,False,True,85.06,71.68,True,48589.0,49711.0,False,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1700.0,False,2631.0,False,True,25.35,26.71,True,8937.0,8535.0,True,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,391.1499938964844,False,14849.0,False,False,-5.97,-5.17,False,56205.0,55564.0,True,EXIT
AXISBANK,AXISBANK,Financial Services,Banks - Regional,1217.4000244140625,False,25764.0,False,False,9.2,9.93,True,129954.0,127032.0,True,EXIT
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1370.0,False,11764.0,False,False,-12.21,-12.77,False,56295.0,55031.0,True,EXIT
