Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_Peer_Group,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1322.0,False,39219.0,False,False,NIFTY ENERGY,-18.77,-8.64,False,552939.0,537909.0,True,EXIT
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1934.199951171875,False,15408.0,False,False,Sector: Communication Services,13.76,0.44,True,124600.0,121493.0,True,EXIT
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,723.0,False,75576.0,True,False,NIFTY BANK,-49.22,-28.65,False,309415.0,307522.0,True,EXIT
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1412.0,False,52183.0,True,True,NIFTY BANK,-22.18,-3.55,False,172670.0,169946.0,True,HOLD
SBIN,State Bank of India,Financial Services,Banks - Regional,1053.0,False,81993.0,True,True,NIFTY BANK,10.04,26.37,True,493000.0,482797.0,True,HOLD
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2280.0,False,50186.0,True,False,NIFTY IT,-21.25,-26.87,False,227703.0,220938.0,True,EXIT
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1094.300048828125,False,19016.0,True,True,Sector: Financial Services,16.27,19.47,True,73287.0,71267.0,True,HOLD
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4064.300048828125,False,7257.0,False,True,Sector: Industrials,1.13,11.0,True,156234.0,153680.0,True,HOLD
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2035.0,False,15326.0,False,False,NIFTY FMCG,-15.09,-24.45,False,63458.0,61975.0,True,EXIT
INFY,Infosys Limited,Technology,Information Technology Services,1115.0,False,30346.0,True,False,NIFTY IT,-19.45,-25.25,False,153501.0,148819.0,True,EXIT
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1875.0999755859375,False,2994.0,False,True,NIFTY PHARMA,-7.56,13.21,False,20901.0,22977.0,False,EXIT
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,5048.60009765625,True,5299.0,True,True,Sector: Consumer Cyclical,30.39,38.55,True,81091.0,77554.0,True,ADD
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13691.0,False,14039.0,False,False,NIFTY AUTO,-29.52,-5.53,False,197129.0,183266.0,True,EXIT
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,3002.5,False,9984.0,False,True,NIFTY METAL,-13.61,24.49,False,23138.0,57844.0,False,EXIT
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3421.5,False,15874.0,True,True,NIFTY AUTO,-24.54,-0.88,False,155581.0,147765.0,True,HOLD
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,205.5800018310547,False,11974.0,False,True,NIFTY ENERGY,60.09,68.2,True,48589.0,49711.0,False,HOLD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1682.4000244140625,False,2631.0,False,True,Sector: Industrials,12.12,21.95,True,8937.0,8535.0,True,HOLD
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,387.6499938964844,False,14849.0,False,False,NIFTY BANK,-23.42,-4.69,False,56205.0,55564.0,True,EXIT
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,1243.0,False,25764.0,False,False,NIFTY BANK,-4.01,13.33,False,129954.0,127032.0,True,EXIT
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1298.0,False,11764.0,False,False,NIFTY IT,-5.68,-12.85,False,56295.0,55031.0,True,EXIT
ITC,ITC Limited,Consumer Defensive,Tobacco,270.0,False,18959.0,False,False,NIFTY FMCG,-26.05,-34.68,False,69071.0,71984.0,False,EXIT
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,11499.0,False,7571.0,True,False,Sector: Basic Materials,-14.81,-10.69,False,86070.0,82170.0,True,EXIT
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,5099.0,True,9279.0,True,True,Sector: Industrials,1.66,11.53,True,33786.0,33090.0,True,ADD
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,337.1000061035156,False,23730.0,True,False,NIFTY ENERGY,-12.83,-2.86,False,166752.0,170037.0,False,EXIT
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2011.199951171875,False,2219.0,True,True,Sector: Financial Services,-3.86,-0.53,False,3115.0,2299.0,True,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,11607.0,False,10712.0,True,True,NIFTY AUTO,9.29,30.7,True,63392.0,58732.0,True,HOLD
JSWSTEEL,JSW Steel Limited,Basic Materials,Steel,1267.5999755859375,True,7232.0,False,True,NIFTY METAL,-22.06,16.61,False,136770.0,135180.0,True,EXIT
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,412.0,False,6128.0,True,False,Sector: Industrials,-3.48,6.41,False,28596.0,27480.0,True,EXIT
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,239.5,False,41904.0,True,False,NIFTY ENERGY,-10.84,-0.91,False,146966.0,144513.0,True,EXIT
